Title,Takeaway,Authors,Year,Citations,Abstract,Study Type,Journal,Journal SJR Quartile,DOI,Consensus Link
"A comprehensive approach to preprocessing data for bibliometric analysis","Preprocessing bibliographic data for bibliometric analysis is more complex and demanding than previously thought, with manual work being necessary at various stages and no fully automatic solution available.","M. Nowakowska",2025,8,"<jats:title>Abstract</jats:title>
                  <jats:p>Bibliometric analysis, also known as bibliometrics, has been conducted for several decades to evaluate scientific research based on data available on bibliographic platforms, such as the popular Web of Science or Scopus. Research papers which include bibliometric analysis typically ignore the problem of bibliographic data preprocessing, in particular its important aspect—data cleaning. Discussion of bibliographic data preprocessing in the literature is sparse and scattered; studies usually address selected single components of the entire endeavour. This study aims to fill the gap as a review article, extensively analysing the problem, presenting issues arising from the structure of bibliographic data, combining data from various sources, creating thesauri and conducting bibliometric analyses, also through the author’s own experience. A brief description of the most popular software dedicated to bibliometrics, such as BibExcel, Bibliometrix, CiteSpace, CitNetExplorer, SciMAT, Sci2 Tool, and VOSviewer, is also provided, highlighting the operations available in these applications for the preliminary processing of bibliographic data. The work allows us to draw the following conclusions. The task is more difficult and demanding than some authors suggest or unclearly claim has already been accomplished, without providing additional details. Data cleaning operations are carried out at various stages of preprocessing, sometimes repetitively, and the order in which they are performed may be significant as it determines the success or failure of the process, in particular when combining data from different sources. There is no software which allows automatic execution of the entire preprocessing procedure of bibliographic data. Moreover, manual work is inevitable at various stages of the process. The contribution of this work to the field of bibliometric analysis is expressed in the form of a methodological synthesis, which involves the holistic consideration of the discussed issue, enabling a more comprehensive understanding of it.</jats:p>","literature review","Scientometrics","1","10.1007/s11192-025-05415-x","https://consensus.app/papers/a-comprehensive-approach-to-preprocessing-data-for-nowakowska/4bb950125db55f71925b49b159f10e88/"
"Protocol for conducting bibliometric analysis in biomedicine and related research using CiteSpace and VOSviewer software","","Qiang Du, Rui Zhao, Qianyi Wan, Siyu Li, Huanyu Li, Daofeng Wang, Cheong Wong Ho, Zhihao Dai, Yi Chen, Dan Shan",2024,23,"","","STAR Protocols","1","10.1016/j.xpro.2024.103269","https://consensus.app/papers/protocol-for-conducting-bibliometric-analysis-in-du-zhao/e62d838ed4355721809bc1b73cedecc7/"
"Software tools for conducting bibliometric analysis in science: An up-to-date review","Bibliometrix, VOSviewer, and SciMAT are effective tools for conducting bibliometric and scientometric analyses in science, with varying features and capabilities depending on the user's needs.","J. A. Moral-Munoz, E. Herrera-Viedma, A. Santisteban-Espejo, M. Cobo",2020,1374,"Bibliometrics has become an essential tool for assessing and analyzing the output of scientists, cooperation between universities, the effect of state-owned science funding on national research and development performance and educational efficiency, among other applications. Therefore, professionals and scientists need a range of theoretical and practical tools to measure experimental data. This review aims to provide an up-to-date review of the various tools available for conducting bibliometric and scientometric analyses, including the sources of data acquisition, performance analysis and visualization tools. The included tools were divided into three categories: general bibliometric and performance analysis, science mapping analysis, and libraries; a description of all of them is provided. A comparative analysis of the database sources support, pre-processing capabilities, analysis and visualization options were also provided in order to facilitate its understanding. Although there are numerous bibliometric databases to obtain data for bibliometric and scientometric analysis, they have been developed for a different purpose. The number of exportable records is between 500 and 50,000 and the coverage of the different science fields is unequal in each database. Concerning the analyzed tools, Bibliometrix contains the more extensive set of techniques and suitable for practitioners through Biblioshiny. VOSviewer has a fantastic visualization and is capable of loading and exporting information from many sources. SciMAT is the tool with a powerful pre-processing and export capability. In views of the variability of features, the users need to decide the desired analysis output and chose the option that better fits into their aims.","literature review","El Profesional de la Información","1","10.3145/epi.2020.ene.03","https://consensus.app/papers/software-tools-for-conducting-bibliometric-analysis-in-moral-munoz-herrera-viedma/a5a196f1b0e952e3bbd020d569d69324/"
"Analysis and data visualization in bibliometric studies","Bibliometrics researchers use software and tools with four levels of data treatment, including recovery, preparation, processing, analysis, and visualization, to analyze various types of data.","Joel Alhuay-Quispe, Alonso Estrada-Cuzcano, Lourdes Bautista-Ynofuente",2022,5,"In recent years, academics with different professional formation other than Information Sciences have been involved in research related to metric studies using approaches and techniques based on bibliometrics; however, these professionals do not have knowledge and necessary competences for conduct metric information studies in a rigorous and methodical way. This article aims to find what are methods and tools used by bibliometrics researchers through a descriptive and textual analysis, using methods such as word co-occurrence in bibliographical data extracted from scientific articles indexing in Web of Science, research area ""Library & Information Science."" We find most frequently software and tools used in bibliometrics have four levels for data treatment: recovery, preparation, processing and analysis, visualization; and use different methods analysis: networks social, geospatial, thematic, temporal, bibliographic coupling, among others.","","JLIS.it","2","10.36253/jlis.it-461","https://consensus.app/papers/analysis-and-data-visualization-in-bibliometric-studies-alhuay-quispe-estrada-cuzcano/d95827fa6ea35f2bb5ae77e03d40ba71/"
"Bibliometric Using Vosviewer with Publish or Perish (using Google Scholar data): From Step-by-step Processing for Users to the Practical Examples in the Analysis of Digital Learning Articles in Pre and Post Covid-19 Pandemic","VOSViewer is an easy and effective tool for bibliometric data analysis, providing insights into research developments in digital learning media.","Dwi Fitria Al Husaeni, A. Nandiyanto",2021,257,"The purpose of this study is to analyze and demonstrate step-by-step bibliometric data analysis using VOSViewer completely and systematically. Step-by-step analysis was provided to make first-time users easily following the way how to use VOSviewers. This report allows and provides an easy way of data analysis by utilizing mapping tools and provide analysis of research developments regarding digital learning media. The method used in this research is to perform bibliometric analysis to produce network visualization of co-work maps and density maps of co-works. The analysis was carried out with the number of publications obtained, relating to the predetermined topics totaling 88 documents in 2017-2021. As practical examples, we evaluated the analysis of digital learning articles in pre and post covid. We found that VOSviewer can be used to give suggestions in the data analysis results.","","ASEAN Journal of Science and Engineering","2","10.17509/ajse.v2i1.37368","https://consensus.app/papers/bibliometric-using-vosviewer-with-publish-or-perish-using-husaeni-nandiyanto/4123fc25de025174bd83264472d7f7e9/"
"Mapping the Literature on Academic Publishing: A Bibliometric Analysis on WOS","This study reveals the internal structures and hidden inferences of academic publishing, revealing its diversified discipline, top-ranked journals, and diversified research fronts using bibliometric software.","Li Yan, Zhiping Wang",2023,116,"With the data from the Web of Science Core Collection-Citation database for the period (1970–2020), we conducted a dynamic visual systematic review of the literature on academic publishing with the help of bibliometric software, CiteSpace, and VOSviewer. The main purpose is to reveal the internal structures and hidden inferences, including the diversified discipline, top-ranked journals, most widely occurring topics, most cited and leading articles, highly productive and outstanding scholars, and most contributing institutions and countries. The co-citation, co-occurrence, cluster detection, and strong citation burstness were employed to show the intellectual base, evolutionary stages, and dynamics of transitions of academic publishing. The study defines the whole profile of international academic publishing, presenting its diachronic evolution, identifying research front, detecting emerging trends and abrupt changes. It expands the previous paradigm that ignored the large data corpus, aiming to provide certain reference value for future research of academic publishing.","systematic review","SAGE Open","1","10.1177/21582440231158562","https://consensus.app/papers/mapping-the-literature-on-academic-publishing-a-yan-wang/f4b19d916b6755b88b683943dc2bb3e6/"
"A user-friendly method to merge Scopus and Web of Science data during bibliometric analysis","This paper presents a user-friendly, three-step method for combining Scopus and Web of Science data during bibliometric analysis, saving time without compromising data integrity or analysis.","Andrea Caputo, Mariya Kargina",2021,192,"Bibliometric studies in management and related fields are growing exponentially due to the need to systematize and summarize the growing body of publications. To do so, scholars mostly retrieve publications and metadata from either Scopus or Web of Science. Only a few bibliometric studies merge the two databases to conduct a single integrated analysis. Recent studies demonstrated the benefits of merging data from Scopus and Web of Science and presented methods for the merging. In this paper we build upon a recent method to simplify some of the key steps of merging datasets when using the R package Bibliometrix to perform bibliometric analyses. The result is a user friendly, accessible, three-step method that allows researchers to save time without compromising the integrity of the data, and the analysis. Our method is particularly beneficial for a wider application as it does not require coding skills, and neither proprietary nor shareware software.","","Journal of Marketing Analytics","1","10.1057/s41270-021-00142-7","https://consensus.app/papers/a-userfriendly-method-to-merge-scopus-and-web-of-science-caputo-kargina/7f0b14baf5465ab5ad6e667398ccd2a8/"
"Identifying and correcting invalid citations due to DOI errors in Crossref data","Only a few publishers are responsible for most invalid citations, and our regular expressions can effectively clean a higher number of errors in invalid DOIs than previous approaches.","A. Cioffi, Sara Coppini, Arcangelo Massari, A. Moretti, S. Peroni, Cristian Santini, Nooshin Shahidzadeh Asadi",2021,7,"This work aims to identify classes of DOI mistakes by analysing the open bibliographic metadata available in Crossref, highlighting which publishers were responsible for such mistakes and how many of these incorrect DOIs could be corrected through automatic processes. By using a list of invalid cited DOIs gathered by OpenCitations while processing the OpenCitations Index of Crossref open DOI-to-DOI citations (COCI) in the past two years, we retrieved the citations in the January 2021 Crossref dump to such invalid DOIs. We processed these citations by keeping track of their validity and the publishers responsible for uploading the related citation data in Crossref. Finally, we identified patterns of factual errors in the invalid DOIs and the regular expressions needed to catch and correct them. The outcomes of this research show that only a few publishers were responsible for and/or affected by the majority of invalid citations. We extended the taxonomy of DOI name errors proposed in past studies and defined more elaborated regular expressions that can clean a higher number of mistakes in invalid DOIs than prior approaches. The data gathered in our study can enable investigating possible reasons for DOI mistakes from a qualitative point of view, helping publishers identify the problems underlying their production of invalid citation data. Also, the DOI cleaning mechanism we present could be integrated into the existing process (e.g. in COCI) to add citations by automatically correcting a wrong DOI. This study was run strictly following Open Science principles, and, as such, our research outcomes are fully reproducible.","","Scientometrics","1","10.1007/s11192-022-04367-w","https://consensus.app/papers/identifying-and-correcting-invalid-citations-due-to-doi-cioffi-coppini/4b44a1d48b175a61b51d16a4b9532399/"
"Evaluating literature with bibliometrics","Bibliometric analysis can identify key articles and centers of expertise, but it is not sufficient for a research paper.","S. Greener",2022,32,"The current trend for completing bibliometric analysis – is this a step forward with technology or a sign of form overtaking function? Naturally the increasing sophistication of software packages such as VOSviewer, Bibexcel or Citespace, is an attractive prospect. They are excellent for a range of purposes, but beware if authors feel this is a quick route to submitting a research paper. If that is your intention, dear contributor, please think again. We aim in this journal not usually to accept straightforward bibliometric reviews because although they gather together an accumulation of facts about papers which may be useful, and often come with beautiful visualisations of the data, by themselves this is an insufficient basis for a journal article, at least in this journal. Bibliometric analysis has really taken off in the last few years. From about 1994 onwards, the information science domain has been teeming with the developments this kind of computer-assisted review methodology can offer and now increasingly other subject disciplines have adopted this approach. Such analysis can identify core research, geographic centres of expertise, key authors and their relationships, covering all the publications related to a given topic or field. Bibliometric analysis has now become a mature and productive tool for literature analysis, particularly if we are looking for themes in the literature through bibliographic coupling where papers have cited references in common, or clusters of intellectual trends, structures or methods through co-citation analysis. In our submitted papers, we are seeing more and more of these uses of bibliometrics. However, journal papers must offer our readers more than facts, they must offer critical thought, analysis and meaning. There is perhaps an analogy with tools for qualitative analysis such as NVivo: wonderful tools but they require analysis and interpretation as well as initial planning from the researcher. In and of themselves they are potentially directionless. Feed limited keywords into such tools, or your data extraction from databases, and you will receive a limited dataset which can lead to limited or meaningless conclusions. Automated searching on keywords requires intervention to find synonyms, different labels used in different disciplines, languages and geographic centres if they are to come up with reliable pictures of the data. There will also be decisions about date fields and sample sizes which will affect outcomes greatly. Unless we are clear about research questions, and have potentially tested and iterated data analysis multiple times, we cannot be sure the data are meaningful. Even then, when we have a differentiated cluster visualisation, we need to take thinking further to see whether something new or interesting can be found in these outcomes, perhaps by choosing one cluster, density analysis or simply by using the metrics to identify where to start reviewing the literature in more depth. So bibliometric analysis can be a real help in identifying groupings, key seminal articles and centres of expertise in a domain. They are a first step in the process of making judgements about a field in which the researcher wishes to contribute, provided the field is sufficiently established to offer a sufficient number of papers, for example, at least a hundred. They are not going to do the job of critical analysis, or purposeful thinking for the researcher and for new narrowly defined fields, the statistical approach is unreliable. Research evaluation cannot solely be led by data rather than sound critical analysis and judgement based on a working knowledge of a field (Ellegaard & Wallin, 2015). We are looking for critical literature evaluation, systematic literature review (e.g. using PRISMA methodology which can be found on the PRISMA website: https://www.prismastatement.org//), and only occasionally in this field, meta-analysis of findings.","","Interactive Learning Environments","1","10.1080/10494820.2022.2118463","https://consensus.app/papers/evaluating-literature-with-bibliometrics-greener/db93b1a8f2d75776aeb6a79ab3a61fbc/"
"Bibliometric Analysis: The Main Steps","Bibliometric analysis is a thorough technique for examining scientific data, identifying patterns, trends, and impact, and can be a suitable alternative to systematic literature reviews.","Ioannis Passas",2024,421,"Bibliometric analysis is a systematic study carried out on scientific literature for the identification of patterns, trends, and impact within a certain field. Major steps include data collection from relevant databases, data cleaning and refining, and subjecting data to various bibliometric methods—an ensuing step in the generation of meaningful information. Bibliometric analysis is an increasingly popular and thorough technique for examining and assessing massive amounts of scientific data, which is being used more and more in research. This entry thoroughly introduces bibliometric methodology, emphasizing its numerous methodologies. It also provides a set of reliable, step-by-step instructions for confidently performing bibliometric analysis. Furthermore, we investigate the suitable use of bibliometric analysis as an alternative to systematic literature reviews. This entry aims to be a useful tool for learning about the methods and approaches that may be used to perform research studies that use bibliometric analysis, particularly in the fields of academic study.","","Encyclopedia","","10.3390/encyclopedia4020065","https://consensus.app/papers/bibliometric-analysis-the-main-steps-passas/3b2c1b99510259529b58d4bd42e3699f/"
